Horizon,Stock,MSE,MAE,QLIKE
10,MSFT,3.4756115121693876e-08,8.29391410081584e-05,0.11558927741774018
10,Median_30,6.320444747219928e-08,9.239380155521589e-05,0.12792532528085568
10,NKE,4.846350047893954e-08,8.506110909343903e-05,0.11927209486106427
10,PG,3.321482362675507e-08,5.065703607904231e-05,0.12542738992359603
10,SPY,1.771898079281153e-08,4.895387595914667e-05,0.2414481982946162
10,UNH,7.320403145695297e-08,0.00010960120095060862,0.12398114241677714
10,UNP,7.09053821278852e-08,9.425178614196776e-05,0.10996707861739423
10,VZ,3.026428435805925e-08,6.605653750012783e-05,0.11825601968257411
10,WMT,2.1721711050139104e-08,5.67413864656834e-05,0.12080306051847929
10,XOM,6.550837975739165e-08,8.294048760255378e-05,0.1281766125588575
22,AAPL,7.720232077474556e-08,0.00014944045555580419,0.17932103143532235
22,ABT,2.7915724172797548e-08,7.005193778379684e-05,0.1449493707247849
22,AIG,3.1318034054898986e-06,0.0004547728852612704,0.32713495152108657
22,AMGN,3.900557563930359e-08,9.834521155335974e-05,0.12129048415655642
22,AXP,1.2646961048728816e-07,0.00014932926137243167,0.19711173988719646
22,BA,1.8778423098721094e-07,0.00013597772124476125,0.16787086531524975
22,BAC,4.487517073626071e-07,0.0002344476183763987,0.19598274018231043
22,C,5.748120676655307e-07,0.00027359855493782183,0.21118879330162288
22,CAT,6.660392647455415e-08,0.00010790841144836893,0.12459686168460199
22,CCL,5.61284607029695e-07,0.00020805472019412731,22073.77238040842
22,DIS,5.1698248343632615e-08,9.800538400332726e-05,0.1598321042777315
22,DJI,2.2017256360814575e-08,5.875291494785582e-05,0.27306412996477264
22,GE,1.2915730123234254e-07,0.0001511094193619771,0.19263962375315807
22,GS,1.7073877552698322e-07,0.00015273923791961328,0.17515038723945386
22,HD,6.263487731431284e-08,0.0001050050864151712,0.1639264588039274
22,IBM,3.174363896429542e-08,7.143512179385863e-05,0.14874261735326377
22,INTC,7.395630279944117e-08,0.00012709589003924774,0.12560011255079087
22,JNJ,1.62252095058216e-08,5.240792921797184e-05,0.1808359340155141
22,JPM,1.7742537303755868e-07,0.00018226474996302066,0.22149068383105813
22,KO,2.2269975534937324e-08,5.193449422049338e-05,0.16417036959879713
22,MCD,3.905871418910826e-08,7.358096403446263e-05,0.1974290034309033
22,MMM,2.9544388526987872e-08,7.063960526555367e-05,0.15491190272530403
22,MRK,3.201552077909978e-08,8.158631817338164e-05,0.13650951933105018
22,MSFT,3.7387705265165344e-08,9.111645387601595e-05,0.13870229977474283
22,Median_30,6.46194018944335e-08,9.882304646185292e-05,0.16404841420136226
22,NKE,4.5973931737350545e-08,8.70664168966496e-05,0.13081573380675904
22,PG,3.137810427506251e-08,5.5302316017597405e-05,0.16817275530062958
22,SPY,1.8081094647145502e-08,5.5155401167469235e-05,0.3013402843466867
22,UNH,7.61896825344674e-08,0.00011250331769403956,0.13047513478116293
22,UNP,7.280237320759301e-08,9.930088137034608e-05,0.13210747877437268
22,VZ,3.138716348693905e-08,7.135503551857954e-05,0.14528443099838767
22,WMT,2.1286175308719447e-08,6.247199371021754e-05,0.14621426157252385
22,XOM,6.732710237166443e-08,9.395758230385133e-05,0.17833277417813853
