DJI,AAPL,ABT,AIG,AMGN,AXP,BA,BAC,C,CAT,CCL,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,SPY,UNH,UNP,VZ,WMT,XOM
6.45109720232925e-05,0.0012416181835457,0.0004188811298834,0.0002193826846298,0.0007277431636117,0.0004062942244709,0.0002420697336224,0.0003282052973918,0.0002459330645527,0.0007644337809945,0.0009070919903273,0.000315617790795,0.0003569309180033,0.0003889154507968,0.0002769275538783,0.0004896153344631,0.0003351095588588,0.0001414449826883,0.0003355601943655,0.0001457308456324,0.000263888745455,0.0004296680405469,0.0001633865718849,0.0003241181242457,0.0005178440767666,0.0001527127765943,7.38341469225148e-05,0.0003006610789676,0.0002178585807377,0.0003216426965894,0.0004804166930225,0.0002582456641476
5.42587037746297e-05,0.0018652148575088,0.0002241204492438,6.59003751941699e-05,0.000660203891177,0.0002701238647709,0.0002254546206697,0.000337848063288,0.0003615495835956,0.0003086562199398,0.0005161389363918,0.000576607149162,0.0004344874762831,0.0006072014453527,0.0005150492882062,0.0005973334242819,0.0006501488842169,0.0001258567854177,0.0006257665045272,0.0001947133544315,0.0002405250653475,0.000124357031897,0.0001356368890517,0.0002934909433726,0.0003335827712273,0.0001830080490401,9.95135245179513e-05,0.0003410631742597,0.0002563087211686,0.0010841640921726,0.0006005161716106,0.0003150693922918
3.83764762612813e-05,0.0013194401765245,0.0003358589057809,0.000119614660459,0.0004904288625916,0.0004033431118506,0.0002151038941242,0.0003978224717412,0.000246780181464,0.0002802639163931,0.000922907193997,0.000353067076249,0.0003227040964679,0.0004513421714754,0.0007654081188636,0.0003584140448926,0.0002730186955018,9.13196917701357e-05,0.0002698677050151,0.0001841906942301,0.000520661269546,0.0002029744900354,0.0001699015340643,0.000318191667426,0.0004448080167779,0.0005388295327201,6.49554422143233e-05,0.0003744457443921,0.0002127257541364,0.0004111079914585,0.0003518889887335,0.0001319344795685
3.3874842510178e-05,0.0021879856581966,0.0003689602754249,0.000162391664561,0.0014397022550044,0.0003665799561275,0.0004190731300105,0.0002279023401973,0.000220081327982,0.0008009034124323,0.0005135236861687,0.0004801950563137,0.0001893889615564,0.0005034174333816,0.0005475032916029,0.0001565863092931,0.0006955402482198,4.77381334234352e-05,0.0003087531133453,0.0001859899488441,0.0007172211740428,0.0002161591794782,7.79963094819417e-05,0.0004134101375426,0.0002710001187822,0.0001522629718607,6.70926179907534e-05,0.0002001951187384,0.0001465490148729,0.0003874817272752,0.0003594620413446,0.0001580587940191
8.03491848863175e-05,0.0016912936490823,0.0001491408930022,0.0001025892036663,0.0009721040291694,0.0005564198057335,0.0002974083140547,0.0002559998210986,0.0003834462622625,0.0005394549308805,0.0008061709588174,0.0002311184897927,0.0003104041508437,0.0003581200367906,0.0003540562742777,0.0003550745672136,0.000616001906607,9.78414392355819e-05,0.0003854552740445,0.0002014502826959,0.0004766276061246,0.0003245528243975,0.0002477785635765,0.0004457562880721,0.0005107124071291,0.0001563212012748,0.0001105713690486,0.0001700120797203,0.0001759401368494,0.0002383334342409,0.0004187122746291,0.000207467583018
5.13056077934893e-05,0.0014001751708253,0.000562407320425,9.28589340735034e-05,0.0006932697611249,0.0003499015620314,0.0001448900379343,0.0001943863935127,0.0003908523068493,0.0003267610223163,0.0007433198807353,0.0005219881780564,0.0006499899809876,0.0004921693855548,0.0004115432547534,0.0002663691371166,0.0002285330659326,7.75936958679669e-05,0.0005169687132142,0.0002163738834617,0.0002428129368654,0.0003202192039384,0.0002155361303697,0.0005154841239092,0.0002376849603989,0.0001416099519395,6.62566700625697e-05,0.0002171858654038,0.0001096428002807,0.0001698400743739,0.0003172460194773,0.000164721179694
4.72456297428669e-05,0.0020712073626434,0.000395961581735,9.21903381403644e-05,0.00071374584099,0.0002305794437187,0.0002606142193857,0.0003416767970831,0.0004102607988563,0.0003043459259567,0.0006495252963773,0.0003672308093504,0.0006447476480917,0.0003710248177208,0.0002453575460881,0.0003796796703691,0.0003470903979522,0.0001222118064525,0.0006255038164916,0.0001824919901916,0.0004560772566782,0.0001280319232726,0.0004020072098722,0.0005967231302587,0.0006687984361573,0.0001133670801437,5.47114646974964e-05,0.0002640994147836,0.0001096452171635,0.0001464481078799,0.0003244227714072,0.0001656440935226
3.87823572547726e-05,0.0010279390847059,0.000792194525495,0.0001091217601538,0.0004813671258429,0.0003829335933342,8.38672047114295e-05,0.0002483708263357,0.0001959375581736,0.0004376795883183,0.0003997626266701,0.0003559462466304,0.0003326728909646,0.000316811495968,0.0003381878788034,0.0002115221225059,0.0002871543427545,0.0002824913712905,0.0002373243220726,0.0002152368977907,0.000246492549355,0.0002826745422185,0.0006607855878607,0.000237698123968,0.0002328843389866,0.0001846435706369,6.81650180292518e-05,0.0004649200897948,0.0002931687324183,0.0004397173571959,0.0004735448255627,0.0001377455881842
3.0951950755839e-05,0.0006413125224578,0.0004919188081579,5.68405806289605e-05,0.0008306065747391,0.000797486938109,0.000198863411558,0.0003657113900143,0.0003782228414384,0.0003268638838204,0.0006265684445009,0.0004800271087732,0.000475012006074,0.0003907580123809,0.0002779845248057,0.0003568656943105,0.0003345274156903,0.0001832750183646,0.000258908254974,0.000222433838843,0.0002432487218673,0.0001779667097832,0.0002757651887238,0.0003563406353368,0.0003313059822425,0.0002597827540917,6.21565116679054e-05,0.0005062897743681,0.000312160663382,0.0001504823383366,0.0002511371816306,0.0001340560800203
4.74039194495429e-05,0.0013311349841992,0.0004443631113252,7.01647704684689e-05,0.0009272427322893,0.0004819559794746,0.0003662002147974,0.0002626712003593,0.0001498911353312,0.0002933203436984,0.0006841740208801,0.0004349754561506,0.0002591466041671,0.0002734762898298,0.0003503230950759,0.0002033678638673,0.0003132062219178,0.000239087836814,0.0002335292092933,0.0003692348627891,0.000207528335388,0.000143192293253,0.0002609421673859,0.0003743648700039,0.0005207497679601,0.0002536075953407,5.89426345111029e-05,0.0004148040433167,6.98729664999489e-05,0.0001306503023474,0.0001711502250288,0.0001241358703743
5.71909588424407e-05,0.0023805415624591,0.0003648984718698,6.38590992233416e-05,0.0003385880426607,0.0003893930360995,0.0005351806166143,0.0001558970876844,0.0002749058557139,0.0003973849045557,0.0006385485236561,0.0005003312053056,0.0001786978269666,0.000406810720844,0.0003741392473356,0.0006016431378027,0.0005265384287785,0.0002018588042182,0.0002109158970944,0.0002105002955035,0.0002449283860385,0.0002079727141581,0.0002147633036968,0.000508080677623,0.0001933447719162,0.0002380899694857,9.32230360939693e-05,0.0002531803148985,0.0002375456545141,0.0004240913376764,0.0002984591396124,0.0001584355466556
0.000101342913763,0.0017102440103029,0.0004792272045298,0.0001458600585917,0.0003575850733211,0.0006095889456574,0.0004693139160254,0.0004320420239732,0.0003877472663905,0.0007303235221777,0.0006566005128659,0.0005651830052049,0.0005262652928959,0.0003839740258071,0.0002232703119931,0.0004665880972842,0.0005147521919411,0.0001528115900031,0.0001865236419487,0.000214857898592,0.0003756797614119,6.95360654078161e-05,0.0001422667791641,0.0003752614635956,0.000177877772103,0.0002360882747734,0.0001140981138887,0.0003273480506746,0.0001979286834258,0.0021365098380844,0.0002671675052453,0.0002162063804823
3.59070858844103e-05,0.0009407460636988,0.0003305739443862,0.0001897995068965,0.0031308958617812,0.0004537737502455,0.0002737457124375,0.0004327332603839,0.0005064585334136,0.0001781518988261,0.0007233250303213,0.0006484602430622,0.000311046828627,0.0005350477322926,0.0002872033918477,0.0003431670364429,0.000265199962754,0.0002213853880008,0.0002098757165226,0.0001735826564814,0.0003112871977386,0.000134724704762,0.0003081581668257,0.0003393894158298,0.000137066126922,9.36169662786662e-05,8.0125531547026e-05,0.0002778956190508,0.0001065381543454,0.0012139759516295,0.0002087434221612,0.0001628445912946
4.7077853960338e-05,0.0018875912937534,0.000384702117343,0.0001147099233475,0.0011821064409871,0.0008649426778871,0.0002679248546557,0.0004870133888638,0.0003128417156083,0.0001510807317424,0.0006530145079608,0.0003562359717125,0.0001825651375159,0.0004165973570886,0.0003747826443534,0.0003467642306411,0.0004325572761983,0.000171234097324,0.000298693421363,0.0002577251345381,0.0004355056637603,0.00048038106026,0.0008696413527366,0.0003722704583403,0.0008793793008064,7.9282000718418e-05,9.64162042652196e-05,0.0001167906151102,0.0002381793035541,0.0002746178077949,0.0004869004507315,0.0002406115537377
5.60232810625454e-05,0.0011680206932465,0.00017778897923,0.0004554147130105,0.0016645294608524,0.0008354528103516,0.0004800273160613,0.0002605447453263,0.0002680224461712,0.0002245401281205,0.0009920607866731,0.000537571221632,0.0001589637440164,0.0002599173630613,0.0005157508540505,0.0004479433987089,0.0005427436309303,0.0001557882009107,0.0002619658880951,0.0001440742885269,0.0010655754411812,0.0002303099752823,0.000223467102184,0.000258666373925,0.000572757254716,0.0002049142180537,8.31384186289385e-05,0.0002910610177368,0.0004439386716696,0.0001761419627362,0.000443968778218,0.0002214142280609
